Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T06:30:00.000000+0000,25.34,73.5,7.5,1.29,5.57,,9.49,0.73,3.2,1.58,,,,,,,,1.31,208.47,,0.0,,880.25,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T06:45:00.000000+0000,26.35,76.41,7.75,1.31,5.62,,9.87,0.75,3.32,1.64,,,,,,,,1.36,210.35,,0.0,,888.19,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T07:00:00.000000+0000,32.59,94.5,7.73,1.31,5.65,,12.2,0.93,4.11,2.03,,,,,,,,1.68,211.3,,0.0,,892.19,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T07:15:00.000000+0000,32.59,94.5,7.31,1.3,5.65,,12.2,0.93,4.11,2.03,,,,,,,,1.68,211.45,,0.0,,892.8,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T07:30:00.000000+0000,32.59,94.5,7.46,1.28,5.53,,12.2,0.93,4.11,2.03,,,,,,,,1.68,207.11,,0.0,,874.5,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T07:45:00.000000+0000,33.81,98.04,7.66,1.3,5.6,,12.66,0.97,4.26,2.11,,,,,,,,1.74,209.44,,0.0,,884.32,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T08:00:00.000000+0000,40.31,116.9,7.43,1.31,5.65,,15.1,1.15,5.08,2.52,,,,,,,,2.08,211.29,,0.0,,892.16,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T08:15:00.000000+0000,40.31,116.9,7.85,1.31,5.61,,15.1,1.15,5.08,2.52,,,,,,,,2.08,210.07,,0.0,,887.01,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T08:30:00.000000+0000,40.31,116.9,8.12,1.3,5.57,,15.1,1.15,5.08,2.52,,,,,,,,2.08,208.24,,0.0,,879.27,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T08:45:00.000000+0000,44.66,129.52,7.96,1.29,5.54,,16.73,1.28,5.63,2.79,,,,,,,,2.3,207.29,,0.0,,875.26,
