k,inertia,silhouette
2,47079.71071428571,0.3785234528217735
3,35263.09626373626,0.2898619265231891
4,27120.884285714288,0.3088750382080263
5,21657.22457142857,0.3275326914517294
6,17649.450571428573,0.32868822463588665
7,15537.90807142857,0.31443849545769065
8,13532.33707142857,0.28427580850781864
