persona,season,locality,rank_mean,rank_std,rank_median,p_rank1,p_top3,p_top5,p_top10,rank_95_lo,rank_95_hi
senior_it,Winter,Wagholi,7.29,1.26,8.0,0.0,0.0,0.114,1.0,4.0,9.0
senior_it,Winter,Baner,7.45,0.69,7.0,0.0,0.0,0.0,0.999,6.0,9.0
senior_it,Winter,Wadgaon Sheri,9.61,0.49,10.0,0.0,0.0,0.0,1.0,9.0,10.0
senior_it,Winter,Pimpri Chinchwad,10.06,1.25,10.0,0.0,0.0,0.0,0.61,8.0,13.0
senior_it,Winter,Viman Nagar,10.58,1.18,11.0,0.0,0.0,0.0,0.39,8.0,12.0
senior_it,Winter,Katraj,11.75,0.49,12.0,0.0,0.0,0.0,0.0,11.0,12.0
senior_it,Winter,Bavdhan,13.53,1.07,13.0,0.0,0.0,0.0,0.001,11.0,16.0
senior_it,Winter,Kondhwa,14.09,0.6,14.0,0.0,0.0,0.0,0.0,13.0,15.0
senior_it,Winter,Hadapsar,15.01,1.53,15.0,0.0,0.0,0.0,0.0,13.0,17.0
senior_it,Winter,Mahalunge,16.16,0.73,16.0,0.0,0.0,0.0,0.0,15.0,18.0
senior_it,Winter,Kharadi,16.41,1.26,17.0,0.0,0.0,0.0,0.0,14.0,18.0
senior_it,Winter,Magarpatta,17.74,0.74,18.0,0.0,0.0,0.0,0.0,16.0,19.0
senior_it,Winter,Keshav Nagar,19.41,0.53,19.0,0.0,0.0,0.0,0.0,19.0,20.0
senior_it,Winter,Undri,19.65,0.8,20.0,0.0,0.0,0.0,0.0,18.0,21.0
senior_it,Winter,EON Free Zone,21.25,0.79,21.0,0.0,0.0,0.0,0.0,20.0,23.0
senior_it,Winter,Moshi,21.72,0.58,22.0,0.0,0.0,0.0,0.0,21.0,23.0
senior_it,Winter,Punawale,23.01,0.45,23.0,0.0,0.0,0.0,0.0,22.0,24.0
senior_it,Winter,Lohegaon,24.08,0.48,24.0,0.0,0.0,0.0,0.0,23.0,25.0
senior_it,Winter,Dhanori,25.4,0.5,25.0,0.0,0.0,0.0,0.0,25.0,26.0
senior_it,Winter,NIBM Road,25.73,1.16,26.0,0.0,0.0,0.0,0.0,23.0,27.0
senior_it,Winter,Manjri,26.66,0.48,27.0,0.0,0.0,0.0,0.0,26.0,27.0
family_kids,Winter,Koregaon Park,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
family_kids,Winter,Aundh,2.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0
family_kids,Winter,Hinjewadi,3.1,0.34,3.0,0.0,0.906,1.0,1.0,3.0,4.0
family_kids,Winter,Kalyani Nagar,3.97,0.34,4.0,0.0,0.077,1.0,1.0,3.0,5.0
family_kids,Winter,Wakad,6.14,0.72,6.0,0.0,0.0,0.177,1.0,5.0,7.0
family_kids,Winter,Balewadi,6.18,0.92,6.0,0.0,0.0,0.263,1.0,5.0,8.0
family_kids,Winter,Wagholi,6.25,1.49,6.0,0.0,0.017,0.496,1.0,4.0,8.0
family_kids,Winter,Baner,7.73,1.11,8.0,0.0,0.0,0.064,0.988,5.0,10.0
family_kids,Winter,Viman Nagar,9.27,1.4,9.0,0.0,0.0,0.0,0.798,6.0,12.0
family_kids,Winter,Wadgaon Sheri,9.91,0.44,10.0,0.0,0.0,0.0,0.942,9.0,11.0
